COUNTY,YEAR,Indicator,MEASURE,COUNT,VALUE,RANK,STATE
Abbeville,2015,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),NA,58.0,NA,51.2
Abbeville,2015,Births,Breastfeeding initiation (percent of all live births; 2013-2015),NA,60.6,26,72.4
Abbeville,2015,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),NA,8.6,10,9.6
Abbeville,2015,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),NA,82.2,2,74.3
Abbeville,2015,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),NA,17.3,40,10.6
Abbeville,2015,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),NA,12.2,32,11.0
Abbeville,2015,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),NA,31.8,17,28.7
Abbeville,2015,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),NA,10.6,38,6.8
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,5.3,24,4.7
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,2.8,8,3.8
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,5.1,22,4.7
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,47.4,36,38.5
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,22.4,43,12.0
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,8.1,24,8.3
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,20.3,21,21.0
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,49.0,46,32.7
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,66.7,32,73.7
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,55.8,40,63.9
Abbeville,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,70.2,28,71.6
Abbeville,2015,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),NA,3.5,5,13.0
Abbeville,2015,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),NA,35.9,21,38.7
Abbeville,2015,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),NA,181.8,24,170.2
Abbeville,2015,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),NA,50.3,27,45.9
Abbeville,2015,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),NA,54.9,31,49.6
Abbeville,2015,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),NA,14.0,4,22.5
Abbeville,2015,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),NA,173.5,12,178.7
Abbeville,2015,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),NA,29.3,36,17.3
Abbeville,2015,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),NA,12.8,20,14.7
